description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
[        ]	1			100					3	"belt,mag,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					2	"belt,rar,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"belt,rar,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					2	"glov,nor,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"glov,nor,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"glov,nor,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					2	"glov,hiq,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"glov,hiq,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"glov,hiq,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					2	"glov,mag,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"glov,mag,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"glov,mag,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					2	"glov,rar,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"glov,rar,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"glov,rar,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					2	"boot,nor,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"boot,nor,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"boot,nor,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					2	"boot,hiq,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"boot,hiq,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"boot,hiq,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					2	"boot,mag,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"boot,mag,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"boot,mag,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					2	"boot,rar,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"boot,rar,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"boot,rar,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					2	"helm,nor,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"helm,nor,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"helm,nor,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					2	"helm,hiq,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"helm,hiq,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"helm,hiq,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					2	"helm,mag,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"helm,mag,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"helm,mag,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					2	"helm,rar,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"helm,rar,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"helm,rar,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					2	"shld,nor,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"shld,nor,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"shld,nor,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					5	"shld,nor,nos"	"gem4,qty=4"						useitem				sock			4	4																																																																															0
[        ]	1			100					2	"shld,hiq,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"shld,hiq,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"shld,hiq,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[防具打孔]	1			100					5	"shld,hiq,nos"	"gem4,qty=4"						useitem				sock			4	4																																																																															0
[武器打孔]	1			100					2	"weap,nor,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"weap,nor,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"weap,nor,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					5	"weap,nor,nos"	"gem4,qty=4"						useitem				sock			4	4																																																																															0
[        ]	1			100					3	"weap,nor,nos"	"ring,uni"	"skz,qty=1"					useitem				sock			5	5																																																																															0
[        ]	1			100					4	"weap,nor,nos"	"ring,uni"	"skz,qty=2"					useitem				sock			6	6																																																																															0
[        ]	1			100					2	"weap,hiq,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"weap,hiq,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"weap,hiq,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					5	"weap,hiq,nos"	"gem4,qty=4"						useitem				sock			4	4																																																																															0
[        ]	1			100					3	"weap,hiq,nos"	"ring,uni"	"skz,qty=1"					useitem				sock			5	5																																																																															0
[        ]	1			100					4	"weap,hiq,nos"	"ring,uni"	"skz,qty=2"					useitem				sock			6	6																																																																															0
[        ]	1			100					2	"weap,mag,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"weap,mag,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"weap,mag,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					5	"weap,mag,nos"	"gem4,qty=4"						useitem				sock			4	4																																																																															0
[        ]	1			100					2	"weap,rar,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"weap,rar,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"weap,rar,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					5	"weap,rar,nos"	"gem4,qty=4"						useitem				sock			4	4																																																																															0
[首饰打孔]	1			100					2	"rin,mag,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					2	"rin,rar,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					2	"amu,mag,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					2	"amu,rar,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
																																																																																																								
[套装物品回收]Immortal King	1			100					6	Immortal King's Will	Immortal King's Soul Cage	Immortal King's Detail	Immortal King's Forge	Immortal King's Pillar	Immortal King's Stone Crusher		run4	99																																																																																						0
Natalya's Odium	1			100					4	Natalya's Totem	Natalya's Mark	Natalya's Shadow	Natalya's Soul				run4	99																																																																																						0
Aldur's Watchtower	1			100					4	Aldur's Stony Gaze	Aldur's Deception	Aldur's Gauntlet	Aldur's Advance				run3	99																																																																																						0
Griswold's Legacy	1			100					4	Griswold's Valor	Griswold's Heart	Griswolds's Redemption	Griswold's Honor				run4	99																																																																																						0
Tal Rasha's Wrappings	1			100					5	Tal Rasha's Fire-Spun Cloth	Tal Rasha's Adjudication	Tal Rasha's Lidless Eye	Tal Rasha's Howling Wind	Tal Rasha's Horadric Crest			run4	99																																																																																						0
Trang-Oul's Avatar	1			100					5	Trang-Oul's Guise	Trang-Oul's Scales	Trang-Oul's Wing	Trang-Oul's Claws	Trang-Oul's Girth			run4	99																																																																																						0
M'avina's Battle Hymn	1			100					5	M'avina's True Sight	M'avina's Embrace	M'avina's Icy Clutch	M'avina's Tenet	M'avina's Caster			run3	99																																																																																						0
Bul-Kathos' Children	1			100					2	Bul-Kathos' Sacred Charge	Bul-Kathos' Tribal Guardian						run3	99																																																																																						0
Cow King's Leathers	1			100					3	Cow King's Horns	Cow King's Hide	Cow King's Hoofs					run3	99																																																																																						0
Heaven's Brethren	1			100					4	Dangoon's Teaching	Heaven's Taebaek	Haemosu's Adament	Ondal's Almighty				run3	99																																																																																						0
Orphan's Call	1			100					4	Guillaume's Face	Wilhelm's Pride	Magnus' Skin	Wihtstan's Guard				run3	99																																																																																						0
The Disciple	1			100					5	Telling of Beads	Laying of Hands	Rite of Passage	Spiritual Custodian	Credendum			run3	99																																																																																						0
Naj's Ancient Set	1			100					3	Naj's Puzzler	Naj's Light Plate	Naj's Circlet					run3	99																																																																																						0
McAuley's Folly	1			100					4	McAuley's Paragon	McAuley's Riprap	McAuley's Taboo	McAuley's Superstition				run3	99																																																																																						0
Sazabi's Grand Tribute	1			100					3	Sazabi's Cobalt Redeemer	Sazabi's Ghost Liberator	Sazabi's Mental Sheath					run3	99																																																																																						0
[套装物品回收]Hwanin's Majesty	1			100					4	Hwanin's Splendor	Hwanin's Refuge	Hwanin's Seal	Hwanin's Justice				run3	99																																																																																						0
																																														moil																																																										
[传奇物品回收]START	1			100					2	Tyrael's Might	moil						r28	99																												moil																																																										0
[        ]	1			100					2	Mang Song's Lesson	moil						r28	99																												moil																																																										0
[        ]	1			100					2	Fathom	moil						r27	99																												moil																																																										0
[        ]	1			100					2	Deaths's Web	moil						r27	99																												moil																																																										0
[        ]	1			100					2	Andariel's Visage	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Windforce	moil						r26	99																												moil																																																										0
[        ]	1			100					2	Griffon's Eye	moil						r26	99																												moil																																																										0
[        ]	1			100					2	Executioner's Justice	moil						r25	99																												moil																																																										0
[        ]	1			100					2	The Stone of Jordan	moil						r24	99																												moil																																																										0
[        ]	1			100					2	Ironward	moil						r24	99																												moil																																																										0
[        ]	1			100					2	Darkforge Spawn	moil						r24	99																												moil																																																										0
[        ]	1			100					2	Crown of Ages	moil						r24	99																												moil																																																										0
[        ]	1			100					2	The Grandfather	moil						r23	99																												moil																																																										0
[        ]	1			100					2	The Cranium Basher	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Templar's Might	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Stormspire	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Steelrend	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Steelpillar	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Shadowdancer	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Natalya's Mark	moil						r23	99																												moil																																																										0
[        ]	1			100					2	M'avina's True Sight	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Griswolds's Redemption	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Griswold's Valor	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Griswold's Honor	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Deathcleaver	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Bul-Kathos' Tribal Guardian	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Bul-Kathos' Sacred Charge	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Bul Katho's Wedding Band	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Aldur's Gauntlet	moil						r23	99																												moil																																																										0
[        ]	1			100					2	Stormshield	moil						r22	99																												moil																																																										0
[        ]	1			100					2	Skullder's Ire	moil						r22	99																												moil																																																										0
[        ]	1			100					2	Shaftstop	moil						r22	99																												moil																																																										0
[        ]	1			100					2	Ormus' Robes	moil						r22	99																												moil																																																										0
[        ]	1			100					2	Messerschmidt's Reaver	moil						r22	99																												moil																																																										0
[        ]	1			100					2	Mara's Kaleidoscope	moil						r22	99																												moil																																																										0
[        ]	1			100					2	Hellfire Torch	moil						r22	99																												moil																																																										0
[        ]	1			100					2	Halaberd's Reign	moil						r22	99																												moil																																																										0
[        ]	1			100					2	Waterwalk	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Tomb Reaver	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Titan's Revenge	moil						r21	99																												moil																																																										0
[        ]	1			100					2	The Reaper's Toll	moil						r21	99																												moil																																																										0
[        ]	1			100					2	The Oculus	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Tal Rasha's Adjudication	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Stormlash	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Rockstopper	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Metalgrid	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Harlequin Crest	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Eschuta's temper	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Duriel's Shell	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Crown of Thieves	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Azurewrath	moil						r21	99																												moil																																																										0
[        ]	1			100					2	Thunderstroke	moil						r20	99																												moil																																																										0
[        ]	1			100					2	Tal Rasha's Howling Wind	moil						r20	99																												moil																																																										0
[        ]	1			100					2	Steel Carapice	moil						r20	99																												moil																																																										0
[        ]	1			100					2	Spiritkeeper	moil						r20	99																												moil																																																										0
[        ]	1			100					2	Shadowkiller	moil						r20	99																												moil																																																										0
[        ]	1			100					2	Schaefer's Hammer	moil						r20	99																												moil																																																										0
[        ]	1			100					2	Ravenlore	moil						r20	99																												moil																																																										0
[        ]	1			100					2	Raven Frost	moil						r20	99																												moil																																																										0
[        ]	1			100					2	Nightwing's Veil	moil						r20	99																												moil																																																										0
[        ]	1			100					2	Bloodraven's Charge	moil						r20	99																												moil																																																										0
[        ]	1			100					2	Alma Negra	moil						r20	99																												moil																																																										0
[        ]	1			100					2	Stone Crusher	moil						r19	99																												moil																																																										0
[        ]	1			100					2	Spirit Ward	moil						r19	99																												moil																																																										0
[        ]	1			100					2	Herald of Zakarum	moil						r19	99																												moil																																																										0
[        ]	1			100					2	Arreat's Face	moil						r19	99																												moil																																																										0
[        ]	1			100					2	Arachnid Mesh	moil						r19	99																												moil																																																										0
[        ]	1			100					2	Aldur's Deception	moil						r19	99																												moil																																																										0
[        ]	1			100					2	Kira's Guardian	moil						r18	99																												moil																																																										0
[        ]	1			100					2	Vampiregaze	moil						r17	99																												moil																																																										0
[        ]	1			100					2	Thudergod's Vigor	moil						r17	99																												moil																																																										0
[        ]	1			100					2	Skin of the Vipermagi	moil						r17	99																												moil																																																										0
[        ]	1			100					2	Lidless Wall	moil						r17	99																												moil																																																										0
[        ]	1			100					2	Hone Sundan	moil						r17	99																												moil																																																										0
[        ]	1			100					2	Dracul's Grasp	moil						r17	99																												moil																																																										0
[传奇物品回收]END	1			100					2	Arioc's Needle	moil						r17	99																												moil																																																										0
																																																																																																								
																																																																																																								
反镶嵌1	1			100					3	"weap,uni,sock"	run3	tsc					"useitem,rem"																																																																																							0
反镶嵌2	1			100					3	"weap,set,sock"	run3	tsc					"useitem,rem"																																																																																							0
反镶嵌3	1			100					3	"armo,uni,sock"	run3	tsc					"useitem,rem"																																																																																							0
反镶嵌4	1			100					3	"armo,set,sock"	run3	tsc					"useitem,rem"																																																																																							0
反镶嵌5	1			100					3	"weap,rar,sock"	run3	tsc					"useitem,rem"																																																																																							0
反镶嵌6	1			100					3	"armo,rar,sock"	run3	tsc					"useitem,rem"																																																																																							0
																																																																																																								
																																																																																																								
暗金护符+暗金戒指+完美宝石 重置	1			100					3	"char,uni"	gem4	"ring,uni"					"usetype,uni"	99																																																																																						0
三个护符合成一个蓝色护符	1			100					3	"char,qty=3"							"char,mag"	99																																																																																						0
三蓝色戒指合成蓝色项链	1			100					3	"rin,mag,qty=3"							"amu,mag"	99																																																																																						0
三蓝色项链合成蓝色戒指	1			100					3	"amu,mag,qty=3"							"rin,mag"	99																																																																																						0
蓝色戒指升级	1			100					3	"rin,mag"	gem4	run1					"usetype,rar"			100																																																																																				0
蓝色项链升级	1			100					3	"amu,mag"	gem4	run1					"usetype,rar"			100																																																																																				0
	1			100					3	"armo,mag"	gem4	run1					"usetype,rar"	99																																																																																						0
	1			100					3	"weap,mag"	gem4	run1					"usetype,rar"	99																																																																																						0
洗亮金戒指	1			100					3	"rin,rar"	gem4	run1					"usetype,rar"	99																																																																																						0
洗亮金项链	1			100					3	"amu,rar"	gem4	run1					"usetype,rar"	99																																																																																						0
洗亮金武器	1			100					3	"weap,rar"	gem4	run1					"usetype,rar"	99																																																																																						0
洗亮金防具	1			100					3	"armo,rar"	gem4	run1					"usetype,rar"	99																																																																																						0
洗暗金戒指	1			100					3	"rin,uni"	"jew,rar"	run2					"usetype,uni"	99																																																																																						0
洗暗金项链	1			100					3	"amu,uni"	"jew,rar"	run2					"usetype,uni"	99																																																																																						0
洗暗金戒指	1			100					3	"weap,uni"	"jew,rar"	run2					"usetype,uni"	99																																																																																						0
洗暗金项链	1			100					3	"armo,uni"	"jew,rar"	run2					"usetype,uni"	99																																																																																						0
[        ]	1			100					4	"jew,mag,qty=4"							"jew,rar"	99																																																																																						0
[        ]	1			100					4	"gem4,qty=4"							"jew,rar"	99																																																																																						0
[        ]	1			100					4	"jew,rar,qty=4"							"jew,uni"	99																																																																																						0
[        ]	1			100					4	"jew,uni,qty=4"							run3	99																																																																																						0
																																																																																																								
WW Collector #07	1			100					3	"weap,mag"	"jew,rar"	gem4					"usetype,rar"	99																																																																																						0
WW Collector #08	1			100					3	"armo,mag"	"jew,rar"	gem4					"usetype,rar"	99																																																																																						0
																																																																																																								
																																																																																																								
																																																																																																								
[物品测试]START	1			100					3	weap	moil	rvl					"usetype,crf"		50	50	att%/lvl		2			att/lvl		2			hp/lvl		8			ac%/lvl		8																																																																		0
[        ]	1			100					1	tsc							Windforce	99																																																																																						0
[        ]	1			100					1	isc							r28	99																																																																																						0
[        ]	1			100					1	rvl							r29	99																																																																																						0
[物品测试]START	1			100					1	yps							"cbw,uni"	99																																																																																						0
箭袋附魔	1			100					2	aqv	rvl						usetype																																																																																							0
箭袋附魔	1			100					2	cqv	rvl						usetype				rep-quant	50																																																																																		0
