Stat	*StatCodeName	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
is289	item_absorb_fire_bytime	289		1	22										4			1024		22		22				6			is143											180	18	1	ModStre9o	ModStre9o									0
is290	item_absorb_ltng_bytime	290		1	22										4			1024		22		22				6			is145											180	18	1	ModStre9q	ModStre9q									0
is291	item_absorb_pois_bytime	291		1	22										4			1024		22		22				6			is147																								0
is292	item_find_gold_bytime	292		1	22										4			1024		22		22				6			is79											180	18	2	ModStr1w	ModStr1w									0
is293	item_find_magic_bytime	293		1	22										4			1024		22		22				6			is80											180	18	1	ModStr1x	ModStr1x									0
is294	item_regenstamina_bytime	294		1	22										4			1024		22		22				6			is28											180	18	2	ModStr3v	ModStr3v									0
is295	item_stamina_bytime	295		1	22										4			1024		22		22				6			is11											180	17	1	ModStr5d	ModStr5d									0
is296	item_damage_demon_bytime	296		1	22										4			1024		22		22				6			is121						1					180	18	1	ModStr4e	ModStr4e									0
is297	item_damage_undead_bytime	297		1	22										4			1024		22		22				6			is122						1					180	18	1	ModStr4f	ModStr4f									0
is298	item_tohit_demon_bytime	298		1	22										4			1024		22		22				6			is123						1					180	17	1	ModStr4j	ModStr4j									0
is299	item_tohit_undead_bytime	299		1	22										4			1024		22		22				6			is124						1					180	17	1	ModStr4k	ModStr4k									0
is300	item_crushingblow_bytime	300		1	22										4			1024		22		22				6			is136						1					180	18	1	ModStr5c	ModStr5c									0
is301	item_openwounds_bytime	301		1	22										4			1024		22		22				6			is135						1					180	18	1	ModStr3m	ModStr3m									0
is302	item_kick_damage_bytime	302		1	22										4			1024		22		22				6			is137						1					180	17	1	ModStr5e	ModStr5e									0
is303	item_deadlystrike_bytime	303		1	22										4			1024		22		22				6			is141						1					180	18	1	ModStr5q	ModStr5q									0
is304	item_find_gems_bytime	304		1											4			1024																																			0
is305	item_pierce_cold	305		1	9											20	40	1024				8	50																	88	20	1	Moditemenrescoldsk	Moditemenrescoldsk									0
is306	item_pierce_fire	306		1	9											20	40	1024				8	50																	88	20	1	Moditemenresfiresk	Moditemenresfiresk									0
is307	item_pierce_ltng	307		1	9											20	40	1024				8	50																	88	20	1	Moditemenresltngsk	Moditemenresltngsk									0
is308	item_pierce_pois	308		1	9											20	40	1024				8	50																	88	20	1	Moditemenrespoissk	Moditemenrespoissk									0
is309	item_damage_vs_monster	309		1														1024																	1																		0
is310	item_damage_percent_vs_monster	310		1														1024																	1																		0
is311	item_tohit_vs_monster	311		1														1024																	1																		0
is312	item_tohit_percent_vs_monster	312		1														1024																	1																		0
is313	item_ac_vs_monster	313		1														1024																																			0
is314	item_ac_percent_vs_monster	314		1														1024																																			0
is315	firelength	315		1	16													1024																																			0
is316	burningmin	316		1	16													1024																																			0
is317	burningmax	317		1	16													1024																																			0
is318	progressive_damage	318		1	3													1024																																			0
is319	progressive_steal	319		1	3													1024																																			0
is320	progressive_other	320		1	3													1024																																			0
is321	progressive_fire	321		1	3													1024																																			0
is322	progressive_cold	322		1	3													1024																																			0
is323	progressive_lightning	323		1	3													1024																																			0
is324	item_extra_charges	324		1	6													1024		6		7												1	1																		0
is325	progressive_tohit	325		1	16													1024																																			0
is326	poison_count	326		1	5													1024																	1																		0
is327	damage_framerate	327		1	8													1024																																			0
is328	pierce_idx	328		1	6													1024																																			0
is329	passive_fire_mastery	329		1	12											20	40	1024		8		8	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
is330	passive_ltng_mastery	330		1	12											20	40	1024		8		8	50																	88	4	1	ModitemdamLtngsk	ModitemdamLtngsk									0
is331	passive_cold_mastery	331		1	12											20	40	1024		8		8	50																	88	4	1	ModitemdamColdsk	ModitemdamColdsk									0
is332	passive_pois_mastery	332		1	12											20	4	1024		8		8	50																	88	4	1	ModitemdamPoissk	ModitemdamPoissk									0
is333	passive_fire_pierce	333		1	9												40	1024		8		8																		88	20	1	Moditemenresfiresk	Moditemenresfiresk									0
is334	passive_ltng_pierce	334		1	9												40	1024		8		8																		88	20	1	Moditemenresltngsk	Moditemenresltngsk									0
is335	passive_cold_pierce	335		1	9												40	1024		8		8																		88	20	1	Moditemenrescoldsk	Moditemenrescoldsk									0
is336	passive_pois_pierce	336		1	9												40	1024		8		8																		88	20	1	Moditemenrespoissk	Moditemenrespoissk									0
is337	passive_critical_strike	337		1	9													1024		8		8																															0
is338	passive_dodge	338		1	9													1024		7		7																															0
is339	passive_avoid	339		1	9													1024		7		7																															0
is340	passive_evade	340		1	9													1024		7		7																															0
is341	passive_warmth	341		1	9													1024		8		8																															0
is342	passive_mastery_melee_th	342		1	11	8												1024		8		8																															0
is343	passive_mastery_melee_dmg	343		1	11	8												1024		8		8																															0
is344	passive_mastery_melee_crit	344		1	9	8												1024		8		8																															0
is345	passive_mastery_throw_th	345		1	11	8												1024		8		8																															0
is346	passive_mastery_throw_dmg	346		1	11	8												1024		8		8																															0
is347	passive_mastery_throw_crit	347		1	9	8												1024		8		8																															0
is348	passive_weaponblock	348		1	9	8												1024		8		8																															0
is349	passive_summon_resist	349		1	9													1024		8		8																															0
is350	modifierlist_skill	350			9													1024																																			0
is351	modifierlist_level	351			8													1024																																			0
is352	last_sent_hp_pct	352		1	8													1024																																			0
is353	source_unit_type	353			5													1024																																			0
is354	source_unit_id	354			32													1024																																			0
is355	shortparam1	355			16													1024																																			0
is356	questitemdifficulty	356																1024				3																															0
is357	passive_mag_mastery	357		1	12											20	40	1024		8		10	50																														0
is358	passive_mag_pierce	358		1	9												40	1024		8		9																															0
